delta_t,msdB,msdR,msdmaxBlue,msdmaxRed,msdminBlue,msdminRed,normB,normR,stdNormB,stdNormR
2.8800000000000002e-05,[ 0.00971554],[ 0.00709759],[ 0.00621353],[ 0.00817255],[ 0.00801298],[ 0.0113123],0.8663962761598056,0.8950092337197341,0.0048642952800813525,0.005052231434570244
3.2e-05,[ 0.00997466],[ 0.0072533],[ 0.0063802],[ 0.00846668],[ 0.00815684],[ 0.0115338],0.8638776251001087,0.8925138327957058,0.004773834772722907,0.004907635282081464
3.52e-05,[ 0.01021176],[ 0.00766294],[ 0.00687826],[ 0.00866257],[ 0.00847191],[ 0.01181485],0.8573232641549903,0.8902427618573457,0.004215521277004593,0.005017906573991752
3.8399990000000004e-05,[ 0.01051223],[ 0.00781871],[ 0.00693137],[ 0.00898397],[ 0.00873712],[ 0.01209274],0.8548578579367718,0.8873814840688506,0.004747937694074997,0.00491658299725416
4.159999e-05,[ 0.01084824],[ 0.00795279],[ 0.00710099],[ 0.00937594],[ 0.0088331],[ 0.01236877],0.8527473694248217,0.8842037138210254,0.004531267500908298,0.004699119502290393
4.479999e-05,[ 0.01104049],[ 0.00824769],[ 0.00731398],[ 0.00945947],[ 0.00921556],[ 0.01267714],0.8481430918169421,0.8823958612624544,0.004919027804375168,0.005031092102162174
4.799999e-05,[ 0.01111059],[ 0.00829746],[ 0.00741946],[ 0.00943615],[ 0.00920556],[ 0.01284751],0.8473711733503747,0.8817384899901425,0.004611795650442251,0.005325735445631451
5.119999e-05,[ 0.01122687],[ 0.00841316],[ 0.00750171],[ 0.009604],[ 0.00935702],[ 0.01290828],0.845582022127349,0.8806502795433886,0.004769536994273671,0.005145801071631983
5.759999e-05,[ 0.01155704],[ 0.00891793],[ 0.00807494],[ 0.01000344],[ 0.00978828],[ 0.01316398],0.837867196688461,0.8775752337518253,0.004322261510977666,0.004887423345108656
6.399999e-05,[ 0.01188219],[ 0.00915553],[ 0.0083156],[ 0.01025474],[ 0.01002247],[ 0.01356806],0.8342858763161729,0.8745679233004184,0.004268105573648572,0.005088146178826388
7.039999e-05,[ 0.01220336],[ 0.00937867],[ 0.00867756],[ 0.01063449],[ 0.01009841],[ 0.01382624],0.8309510438717554,0.8716178677662764,0.003523925661253494,0.004868234044354236
7.679999e-05,[ 0.01236868],[ 0.00976004],[ 0.00894794],[ 0.01076778],[ 0.01059704],[ 0.01402574],0.8253146354905948,0.8701072187953369,0.004032839806140579,0.004951776646671945
8.319999e-05,[ 0.01270394],[ 0.0100115],[ 0.00922028],[ 0.01107855],[ 0.01082622],[ 0.01438704],0.8216410767536927,0.867059699406306,0.0038914303063817364,0.004993041287581731
8.959998e-05,[ 0.01304827],[ 0.01038769],[ 0.00960086],[ 0.01144159],[ 0.01119758],[ 0.01471108],0.8162078035504802,0.8639521928496827,0.0038165914901571864,0.0048985903566428225
9.599998e-05,[ 0.01324054],[ 0.01082722],[ 0.00997976],[ 0.01161692],[ 0.01170125],[ 0.01492138],0.8099527202905967,0.8622267563792847,0.004050031405209114,0.004931016730591018
0.0001024,[ 0.0135066],[ 0.01060557],[ 0.00971009],[ 0.01186647],[ 0.0115309],[ 0.01520496],0.8130947168291449,0.8598505549731815,0.004317854110549623,0.004954103450409597
0.00011520000000000001,[ 0.01400274],[ 0.01129077],[ 0.01047367],[ 0.01232555],[ 0.01213232],[ 0.01574052],0.8034617357964693,0.855454568098942,0.003838208340990281,0.005015410114286307
0.000128,[ 0.01446279],[ 0.0117798],[ 0.01091024],[ 0.01281569],[ 0.01267683],[ 0.01616799],0.7967289818781912,0.8514186673496715,0.004017767969027189,0.004876692360811207
0.0001408,[ 0.0148202],[ 0.01231666],[ 0.01145947],[ 0.01316588],[ 0.01320026],[ 0.0165329],0.7894699591083726,0.8483096927182473,0.0038853561667370564,0.004862089222083251
0.0001536,[ 0.01537719],[ 0.01290618],[ 0.01199946],[ 0.01368897],[ 0.01384217],[ 0.01712587],0.7816538175743635,0.843509903713831,0.004029547630589238,0.0049065060360350896
0.0001664,[ 0.01580212],[ 0.01324041],[ 0.01236334],[ 0.01413408],[ 0.01414464],[ 0.01752888],0.7772926746429797,0.8398847784500462,0.0038508640256225786,0.004804555936863675
0.0001792,[ 0.01621396],[ 0.01387382],[ 0.01310825],[ 0.01455475],[ 0.01465977],[ 0.017931],0.7691630280571865,0.8364012000650566,0.0032827243032152714,0.004738468180569093
0.000192,[ 0.01671139],[ 0.01414898],[ 0.01328992],[ 0.01503763],[ 0.01503365],[ 0.01844367],0.7656854668631641,0.8322323162066672,0.003655109981367122,0.004732376359224636
0.0002048,[ 0.01711237],[ 0.01461602],[ 0.01377194],[ 0.01548299],[ 0.01548459],[ 0.01879691],0.7598562225761338,0.8289020700787433,0.003534206420847446,0.004567429286816646
0.00023040000000000002,[ 0.01798196],[ 0.01545417],[ 0.0145593],[ 0.01627503],[ 0.01637618],[ 0.01974895],0.7496197760549025,0.8217713045280874,0.003646498993062275,0.004705283914429135
0.000256,[ 0.01865347],[ 0.01612127],[ 0.01525377],[ 0.01696591],[ 0.01701394],[ 0.02039928],0.7416719475490299,0.8163487663487656,0.0034565073838350646,0.004588844842897819
0.0002816,[ 0.01944243],[ 0.01704753],[ 0.01606239],[ 0.01771654],[ 0.01806472],[ 0.02122878],0.7309180703888124,0.8100690763845341,0.00381614962754127,0.00462186435981862
0.0003072,[ 0.02020517],[ 0.01777617],[ 0.01684502],[ 0.01848227],[ 0.01873555],[ 0.02198782],0.722679850313849,0.804089770836671,0.0035206736262436205,0.0045448724741860924
0.0003327999,[ 0.02101333],[ 0.01858224],[ 0.01763101],[ 0.01927095],[ 0.01956252],[ 0.02281632],0.7137844408729411,0.7978504529294866,0.003507162447276714,0.004525062931489011
0.0003583999,[ 0.0216041],[ 0.01923789],[ 0.01827008],[ 0.01984402],[ 0.02023545],[ 0.02342567],0.7067120504939474,0.7933506813227381,0.0034968660034175917,0.004519704550595548
0.0003839999,[ 0.02246953],[ 0.01997309],[ 0.018978],[ 0.02069674],[ 0.02099927],[ 0.02430415],0.6989496088855318,0.7868502092202745,0.0035162135846112273,0.004477607020395565
