delta_t,meanB,meanBR,meanR,stdB,stdR,stdRB
2.936012,1.000119567,0.998578247,1.0021045,0.005934499,0.009310769,0.009318677
3.145727,0.997660613,0.99563271,0.998366873,0.005496208,0.00920896,0.01033577
3.355443,1.000029767,0.996403533,0.99872376,0.00506638,0.012023716,0.009998599
3.774873,1.001959667,0.996141537,0.999707607,0.005900951,0.013755607,0.009140567
4.194304,0.998995187,0.997148267,0.998410027,0.006341021,0.009795253,0.008095846
4.613734,1.002258787,0.99817603,0.998789887,0.007204661,0.010143587,0.006546264
5.033164,0.999910747,0.99865289,0.998561947,0.005834006,0.009436997,0.007536454
5.452594,1.001863147,0.99688406,0.995884187,0.00745355,0.010123072,0.009100495
5.872025,1.001775453,0.998039933,0.99849018,0.006188756,0.010035488,0.007875025
6.291455,1.00294808,1.000337257,1.001834833,0.003118579,0.009607142,0.008121811
6.710885,0.998549407,0.998922367,1.00107342,0.006323791,0.012868418,0.009807812
7.549746,0.998839347,0.99947836,0.999762967,0.005237393,0.008936687,0.006643596
8.388607,1.00086586,0.999690417,0.99933988,0.00454931,0.006889205,0.004053163
9.227468,0.999089907,0.999910703,0.998066533,0.004965672,0.008347488,0.007233872
10.06633,1.000706173,0.999023037,0.998638567,0.004171384,0.010519599,0.00547239
10.90519,0.999106567,0.999056173,0.99711594,0.004530434,0.010114754,0.006960488
11.74405,0.998902713,0.999778463,1.00258096,0.003630648,0.010478162,0.008008303
12.58291,1.000330887,1.00297476,1.00535428,0.00400692,0.012574831,0.007459186
13.42177,0.99908898,0.998538367,1.001416493,0.004742814,0.005733743,0.007159034
15.09949,1.00063972,0.998826577,1.000718067,0.003215201,0.0082287,0.006254777
16.77721,0.99906338,0.997807853,0.996695933,0.003056486,0.009224892,0.003978877
18.45494,0.998750607,0.998374443,0.997779953,0.003414736,0.007220869,0.003621057
20.13266,0.999259353,1.000538017,0.998261867,0.004568843,0.007328518,0.003560363
21.81038,0.998669427,0.998709483,0.9968051,0.003706685,0.006845968,0.005240036
23.4881,0.998979033,0.99953186,0.99694568,0.00273324,0.007243991,0.005596479
25.16582,1.000311833,1.000557503,0.996698007,0.005135451,0.009813572,0.006623812
26.84354,0.99965794,0.997911533,0.99845604,0.003523553,0.004298347,0.006393939
30.19898,1.00119972,1.000095067,1.000463913,0.002509033,0.005726501,0.003734028
33.55443,0.999517207,0.999197957,0.99844158,0.002788065,0.003705279,0.00488744
36.90987,0.99884732,0.99888697,0.998964793,0.002425308,0.005648848,0.004230734
40.26531,0.999956793,1.001520087,1.000138387,0.001324457,0.007982298,0.003395652
43.62075,0.998581273,1.000685497,0.999093213,0.001967781,0.007440026,0.004527445
46.9762,0.999258167,0.99996391,1.000792493,0.001709328,0.006825417,0.004734828
50.33164,0.999192893,0.99903365,1.001538687,0.002088316,0.006401709,0.003207893
53.68708,1.000563007,0.998651713,0.99879192,0.003567877,0.006928218,0.003798787
60.39797,1.000220427,1.00003462,0.999989393,0.001985579,0.003832584,0.002850552
67.10886,0.999028653,0.999727647,0.998341053,0.001630314,0.004413609,0.003613235
73.81974,0.999715767,1.000463083,1.000098707,0.001672709,0.00384245,0.003002934
80.53062,0.999224207,0.999616067,0.9991719,0.002258272,0.005070153,0.003489907
87.24151,0.999459667,1.00043187,0.999631087,0.002292599,0.003978094,0.00314704
93.95239,0.999977973,1.000142657,1.000454733,0.002840172,0.003980919,0.003067354
100.6633,0.999905427,0.99868793,1.000087467,0.001980094,0.004103167,0.002594154
107.3742,1.000283953,0.99916913,1.000108513,0.001902396,0.004158696,0.003697597
120.7959,0.99946442,0.999669857,0.999429993,0.001638121,0.002728515,0.002151052
134.2177,0.999286827,0.99922171,0.9995295,0.001464514,0.002727576,0.002377873
147.6395,1.000403827,1.000684927,0.99912018,0.00152034,0.004083278,0.003380325
161.0612,0.999789027,1.00062501,1.001414533,0.001492442,0.003710265,0.00206436
174.483,0.999518727,0.99944563,0.998345533,0.001951113,0.005454775,0.002038904
187.9048,0.999597067,1.000595937,0.997955687,0.001951796,0.003914247,0.002350098
201.3266,1.00027176,0.999629377,0.99877378,0.001705593,0.004371578,0.00233284
214.7483,0.99941182,0.99949774,1.00082704,0.001875406,0.004037495,0.001976594
241.5919,1.00033986,0.99971445,1.000143993,0.001108996,0.00263408,0.002138579
268.4354,1.00030592,0.999631457,1.00010272,0.001190776,0.002250995,0.001917344
295.279,0.99992882,1.00031407,1.001055073,0.001250675,0.002217476,0.001725269
322.1225,0.999944773,0.999511043,0.99917616,0.001455208,0.002341486,0.002153577
348.966,1.000471047,0.99991229,0.9998183,0.001397392,0.00267934,0.001847451
375.8096,1.000101207,1.001775987,1.00082234,0.001469801,0.00270723,0.001840912
402.6531,1.000136313,1.000192197,1.00103654,0.001183715,0.003856438,0.003310273
429.4966,1.000140113,1.000717483,0.999675053,0.002393367,0.003717616,0.002316534
483.1837,1,1,1,0,0,0
536.8708,0,0,0,0,0,0
590.5579,0,0,0,0,0,0
644.245,0,0,0,0,0,0
697.9321,0,0,0,0,0,0
751.6191,0,0,0,0,0,0
805.3062,0,0,0,0,0,0
858.9933,0,0,0,0,0,0
